곡 명, 아티스트, 작곡가, 작사가, 편곡자, 스트리밍 수, 좋아요 수, 발매시점, 기획사, 발매사, 장르, 재생시간
Vapor, Youth trauma, , Youth trauma, , 4, , 2022.11.07, Gasolin Station, (주)뮤직카로마, 가요 / 일렉트로니카, 07:44
Time After Time, nawhij & JazzyHan (최중한), , nawhij & JazzyHan (최중한), , 75, 1, 2022.11.07, Nawhij, (주)뮤직카로마, 가요 / 랩/힙합, 02:48
For you (Song by yu : u) (Prod. by H!), KozyPop & 람다람, yu:u & H!, yu:u, H! & HS, 1023, 9, 2022.11.07, LINK6 Inc., Sony Music, 가요 / 인디, 02:59
빨갛게, protein doll, protein doll, protein doll, protein doll, 3, , 2022.11.07, 비손콘텐츠, 주식회사 사운드펍, 가요 / 락, 05:50
기억나니, 오늘의 음악, 김현중, 김현중 & 남예지, 김현중, 4, , 2022.11.07, 비손콘텐츠, 주식회사 사운드펍, 가요 / 인디, 02:42
Nonchalant, Daniel Kim, , , , 4, , 2022.11.07, 비손콘텐츠, 주식회사 사운드펍, 가요 / 랩/힙합, 02:08
너에게만 말해줄 거야 (Feat. 오창미), 페퍼민트, 필승불패, 리디아 (Lydia), 필승불패, 35, 1, 2022.11.07, Winner J, 주식회사 티에스앤엔터테인먼트, 가요 / 발라드, 03:40
Fire to the Fuse | Official Empyrean Music Theme, League of Legends & 잭슨 (Jackson Wang) & 88rising, Jason Walsh & Kole Hicks, Mary Clare, , 1837, 12, 2022.11.07, 라이엇 게임즈, 지니뮤직 &  Stone Music Entertainment, 가요 / 일렉트로니카, 03:46
사랑은 부메랑처럼 돌아오지 않아 (Feat. 자윤), XEN, XEN & 자윤, 03:39, XEN & 자윤 & Jade, 4, , 2022.11.07, (주)프로시마뮤직엔터테인먼트, (주)프로시마뮤직엔터테인먼트, 가요 / 락, 03:39
억장이 무너진다, 영조, , , , 13, , 2022.11.07, , RIAK, 가요 / 트로트, 04:03
180도, 손보라, , , , 25, 2, 2022.11.07, 슈가 케이팝닷컴, RIAK, 가요 / 트로트, 03:14
Love Of My Life, SRB Project, , , , 6, , 2022.11.07, 서라벌레코드, RIAK, 가요 / 전체, 03:30
내 편, 김동현, , , , 7, 1, 2022.11.07, , RIAK, 가요 / 트로트, 03:27
퍼플퍼플러브유, HAEXSO, HAEXSO, 정법시대 & HAEXSO, HS, 4, , 2022.11.07, (주)에이치에스(HS), RIAK, 가요 / 랩/힙합, 02:53
돌고도는 인생길, 이순자, , , , 8, , 2022.11.07, , RIAK, 가요 / 트로트, 03:21
그대를 만나, 이형경, , , , 6, , 2022.11.07, , RIAK, 가요 / 트로트, 03:35
그건 분명 사랑이었고, 차재 (CHAJAE), 영원희 (Young Wonhee), 영원희 (Young Wonhee) & 차재 (CHAJAE), , 103, 10, 2022.11.07, 차재 (CHAJAE), OZZ, 가요 / 발라드, 03:59
We, 크로스오버 (Krssover), AMOS1, AMOS1, , 17, 1, 2022.11.07, OWL Production, OZZ, 가요 / 댄스, 03:01
d_b5, quaker4, , quaker4, , 3, , 2022.11.07, Quake Shop, OZZ, 가요 / 일렉트로니카, 05:56
다섯 번째 계절, 바르카롤레, Steven Lee & Caroline Gustavsson & Joe Lawrence, 서지음, 김은혜, 131, 2, 2022.11.07, n.CH엔터테인먼트, 카카오엔터테인먼트, 가요 / 댄스, 03:47
미술관, 급한노새, 급한노새, 류용운 & 문종원 & 최종빈, 급한노새, 6, , 2022.11.07, 충남정보문화산업진흥원 &  충남음악창작소, 비스킷 사운드, 가요 / 인디, 05:06
고마워!, Small Kidd, MIXTAPE SEOUL & Small Kidd, Small Kidd, MIXTAPE SEOUL, 6, , 2022.11.07, Small kidd, 유엠에이지(UMAG), 가요 / 랩/힙합, 01:12
사랑일까, 마리포사 (Mariposa) & 브라운티거 (Brown Tigger), 마리포사 (Mariposa) & 브라운티거 (Brown Tigger), 브라운티거 (Brown Tigger), 마리포사 (Mariposa) & 브라운티거 (Brown Tigger), 4, , 2022.11.07, Mariposa, 유엠에이지(UMAG), 가요 / 전체, 03:08
Battle Royal (Feat. 샤크라마 (SHARKRAMA)), Wel.C (웰씨), 샤크라마 (SHARKRAMA) & Wel.C (웰씨), 02:02, Wel.C (웰씨) & Caveman, 46, 3, 2022.11.07, JMG(로칼하이레코즈), 주식회사 루미넌트엔터테인먼트, 가요 / 랩/힙합, 02:02
우연히 들려온 너의 소식, 톤 (TONE), 필승불패 & 다무 (Damu) & 이주용, 필승불패 & 다무 (Damu), 이주용, 4092, 32, 2022.11.06, coca, Dreamus, 가요 / 발라드, 03:22
안녕 여름 (Feat. UNBIRTHDAY), BoomPop, UNBIRTHDAY (언벌스데이), 03:36, UNBIRTHDAY (언벌스데이) & Saka ayumu, 368, 4, 2022.11.06, 수와뮤직, 뮤직앤뉴, 가요 / 락, 03:36
Destiny or Challenge, 히오, 원택 (1Take), 원택 (1Take), 원택 (1Take), 2788, 11, 2022.11.06, 라인프로덕션, NHN벅스, 가요 / 댄스, 02:59
떨어진 꽃잎이 빗물에 닿을 때, Time Lapse, 노휘, 노휘, Philjune (필준), 305, 1, 2022.11.06, Timelapse, 아토엔터테인먼트, 가요 / 블루스/포크, 04:55
개똥벌레 (영화 '동감' X 이무진), 이무진, 한돌, 한돌, Factist & Jossh, 51306, 345, 2022.11.06, TOON STUDIO, 카카오엔터테인먼트, 가요 / 블루스/포크, 03:18
이럴거면, 전건호, 박근태, 강은경, ahc & Nayah & 박근태, 17772, 147, 2022.11.06, NEW C.C.C., 카카오엔터테인먼트, 가요 / 발라드, 03:45
One Voice, 청춘스타 TOP7, , 황성제, , 2670, 11, 2022.11.06, n.CH엔터테인먼트, 카카오엔터테인먼트, 가요 / 발라드, 02:57
네 맘에 닿길 (Vocal. 표혜미), 미어스, Cheat Keys & D.rain & 9june9 & Perrie (페리), 9june9 & Perrie (페리), Cheat Keys & D.rain & 9june9 & Perrie (페리), 3382, 17, 2022.11.06, 에이플랫 엔터테인먼트, 지니뮤직, 가요 / 발라드, 03:48
Pull Me Inside Of Me, Suitz (슈츠), Suitz (슈츠), Suitz (슈츠), Suitz (슈츠), 347, 4, 2022.11.06, Suitz (슈츠), 오감엔터테인먼트, 가요 / 랩/힙합, 03:28
혼자왔어요, 여은, 오성훈, 오성훈, 이형성 & 고병식, 12831, 87, 2022.11.06, 요구르트 스튜디오, ㈜다날엔터테인먼트, 가요 / 발라드, 03:43
more a more, t024, Nap!er & senji, senji, Nap!er, 4815, 24, 2022.11.06, twotwentyfour, 지니뮤직 &  Stone Music Entertainment, 가요 / R&B/소울, 03:03
모른척 지내요, 손효규, 시우 (SIU) & 제피 (Xepy) & 전홍준, 시우 (SIU), 시우 (SIU) & 전홍준, 4756, 40, 2022.11.06, 에스피케이엔터테인먼트, 카카오엔터테인먼트, 가요 / 발라드, 03:45
아버지의 꿈, 담담, 담담, 담담, 담담, 234, 3, 2022.11.06, 담담, 주식회사 사운드리퍼블리카, 가요 / 인디, 03:35
Do me dougie (Feat. Jayflo & element6ixmonth), 강상협, 강상협, 04:03, 강상협, 109, 2, 2022.11.06, Luminant Entertainment, 주식회사 루미넌트엔터테인먼트, 가요 / 랩/힙합, 04:03
사랑스런 추억, 박진오 (J1NO), 박진오 (J1NO), 박진오 (J1NO), kanabeats, 192, 2, 2022.11.06, 박진오(J1NO), 주식회사 블렌딩, 가요 / R&B/소울, 02:55
Johnny Depp (Prod. by Grene Man), Ja Mezz & Bangroz, Grene Man, Ja Mezz, Grene Man, 2798, 9, 2022.11.06, Vluesound, YG PLUS, 가요 / 랩/힙합, 02:21
크리스마스에 혼자 남은 너를 위한 노래, 네이비쿼카 (NavyQuokka), 네이비쿼카 (NavyQuokka), 네이비쿼카 (NavyQuokka), 네이비쿼카 (NavyQuokka), 17023, 218, 2022.11.06, NavyQuokka, YG PLUS, 가요 / 인디, 03:05
Dial Tone, 장건, 장건 & Kiyoto, 장건, Kiyoto, 139, , 2022.11.06, , 캔디드뮤직, 가요 / 랩/힙합, 03:45
모호, 융단, 융단, 융단, 융단, 186, 4, 2022.11.06, 베케이션홈워크클럽, 더 볼트, 가요 / 인디, 04:46
First-Ego, 백인호, 백인호, 백인호, 백인호, 75, , 2022.11.06, Midori, 주식회사 루미넌트엔터테인먼트, 가요 / 인디, 04:00
RED (너란 기억), 소지, 에디, 에디, 에디, 237, , 2022.11.06, DADADA Entertainment, 주식회사 루미넌트엔터테인먼트, 가요 / 발라드, 03:12
Vague Christmas (Feat. OYZ DELE BROWN), OYZ CHORD, OYZ DELE BROWN & OYZ CHORD, 03:46, OYZ CHORD & OYZ DELE BROWN & TaeB, 161, 3, 2022.11.06, Luminant Entertainment, 주식회사 루미넌트엔터테인먼트, 가요 / 랩/힙합, 03:46
BACK TO MY SQUAD, Kobane, Kobane, Kobane, Kobane, 116, , 2022.11.06, Luminant Entertainment, 주식회사 루미넌트엔터테인먼트, 가요 / 랩/힙합, 03:02
가장 보통의 행복, J.A. (제이에이), 유승한, 유승한, 제이쿤 (J.KUN), 121, 3, 2022.11.06, JA entertainment, 주식회사 루미넌트엔터테인먼트, 가요 / 인디, 03:29
a u r o r a ✧ (Feat. sooon), sweetch, 킴로랑 (keemlaurent) & 박보정 (Chansline), 03:29, sweetch & sooon, 2478, 31, 2022.11.06, MAJORIG RECORDS, 워너뮤직, 가요 / R&B/소울, 03:29
Peter Pan (Feat. J.O.Y & Ashley Alisha), 뎁트, 뎁트 & Clam & J.O.Y & ASHLEY ALISHA, 03:02, 뎁트 & GRAM & Griffy & J.O.Y & ASHLEY ALISHA, 14235, 158, 2022.11.06, 뎁트뮤직, 워너뮤직, 가요 / 인디, 03:02
Fit, Red db, Red db, Red db, Red db, 124, 0, 2022.11.06, Luminant Entertainment, 주식회사 루미넌트엔터테인먼트, 가요 / 전체, 03:04
당신은... 나는 바보입니다, 노틸러스, 심태윤 (Stay), 심태윤 (Stay), 최상언 & 김홍준 & 김성윤, 30216, 211, 2022.11.06, 도니레코드, 지니뮤직 &  Stone Music Entertainment, 가요 / 인디, 04:19
꽃이 지다, 희상, Koaz, 희상, Koaz & 정연수, 131, 2, 2022.11.06, 구름코끼리, 미러볼뮤직, 가요 / 인디, 02:49
함께해요, 정보영, 정보영, 정보영, 정보영, 152, , 2022.11.06, Luminant Entertainment, 주식회사 루미넌트엔터테인먼트, 가요 / 발라드, 04:48
